mese; previsione; valoriReali; previsioneAnnuale; valoreAnnualeReali
Gennaio; 2.71; -0.72; 11.54; 13.11
Febbraio; 3.97; 0.56
Marzo; 7.03; 5.08
Aprile; 10.75; 11.50
Maggio; 15.69; 16.57
Giugno; 21.09; 21.61
Luglio; 23.37; 22.24
Agosto; 22.33; 22.89
Settembre; 19.23; 19.62
Ottobre; 11.44; 14.34
Novembre; 5.73; 5.23
Dicembre; 2.68; 3.83
