mese; maxTemp; minTemp; avgTemp
Gennaio; 6.60; -3.71; 1.55
Febbraio; 7.47; -2.59; 2.60
Marzo; 11.00; -0.20; 5.55
Aprile; 17.50; 5.11; 11.45
Maggio; 23.43; 10.95; 17.33
Giugno; 28.32; 16.24; 22.42
Luglio; 30.34; 18.64; 24.63
Agosto; 29.59; 17.56; 23.72
Settembre; 26.45; 14.07; 20.40
Ottobre; 19.31; 7.33; 13.45
Novembre; 12.02; 0.81; 6.54
Dicembre; 6.25; -3.98; 1.28
